00-base	a3b98ca179d5	KVM: arm64: Add hyp_printk event to nVHE/pKVM hyp
00-base	71b025e81622	tracing/remotes: Add REMOTE_EVENT_CUSTOM_PRINTK() helper
00-base	7202d7010795	KVM: arm64: Move kvm_define_hypevents.h to arch/arm64/kvm/
00-base	78b8e05d49e9	KVM: arm64: Allow early calls to pKVM host_share/unshare_hyp
00-base	ec061352e0f1	Documentation/kernel-parameters: Add trace_remote
00-base	624e76981c2f	Documentation: tracing/remotes: Add detailed tracefs layout
00-base	fde15777d62c	tracing/remotes: Add trace_remote cmdline options
00-base	545e8fa08a35	tracing/remotes: Add poll_ms tracefs file
00-base	9b8ab2ae07cd	tracing/remotes: selftests: Add a test for the dump_on_panic tracefs file
00-base	fff47ae9a2b8	tracing/remotes: Add dump_on_panic tracefs file
00-base	20548652883a	ring-buffer: Add kerneldoc for ring_buffer_poll_remote
00-base	77f29df1293e	ring-buffer: Add ring_buffer_read_remote_meta_page()
00-base	ab072001275b	ring-buffer: Use panic-friendly locking in ring_buffer_iter interface
00-base	4056ff2afbbf	ring-buffer: Use irqsave for the reader lock in ring_buffer_poll_remote
00-base	9522051976e1	tracing/remotes: selftests: Prefix hypervisor folder
00-base	9399428a3a94	tracing/remotes: selftests: Add a test for the dmesg tracefs file
00-base	62392a48bc37	tracing/remotes: Add dmesg tracefs file
00-base	41dde373df5d	tracing/simple_ring_buffer: Add support for compressed length
00-base	082f7a748592	tracing/remotes: Use a single per-remote polling work
00-base	34ed3ee81b98	tracing/remotes: Use kstrtobool for boolean tracefs files
00-base	95289589e4cc	tracing/remotes: Release tracefs,eventfs on registration failure
00-base	74f7b5df0683	tracing/remotes: Gate tracefs files opening on trace remote registration
00-base	3945258b1ce9	KVM: arm64: Alloc simple_buffer_page using pKVM hyp allocator
00-base	0b183bb7204b	KVM: arm64: Alloc pkvm_hyp_vcpu using pKVM heap allocator
00-base	704e1cce5392	KVM: arm64: Alloc pkvm_hyp_vm using pKVM heap allocator
00-base	a5c12a4d67b4	KVM: arm64: Use noclear for PGD in __pkvm_init_vm error path
00-base	ce1980ca0888	KVM: arm64: Move hyp_vm refcount into the structure
00-base	d26b6f95975d	KVM: arm64: Filter out non-kernel addresses in kern_hyp_va
00-base	3d52fcd48b7d	KVM: arm64: Add a shrinker for pKVM
00-base	14899a3c4161	KVM: arm64: Add selftests for the pKVM heap allocator
00-base	daf21c3d032b	KVM: arm64: Add reclaim interface for the pKVM heap alloc
00-base	2216921fddff	KVM: arm64: Handle PKVM_HYP_REQ_HYP_ALLOC request
00-base	cce78b0351dd	KVM: arm64: Add pkvm_hyp_req infrastructure
00-base	6648dddfe88b	KVM: arm64: Add topup interface for the pKVM heap allocator
00-base	ba954fdf268b	KVM: arm64: Allow kvm_hyp_memcache usage outside of stage-2
00-base	562301aa8a51	KVM: arm64: Add a heap allocator for the pKVM hyp
00-base	2aa11f12e4a2	KVM: arm64: Add __hyp_allocator_map for the pKVM hyp
00-base	069733696d3b	KVM: arm64: Add pkvm_remove_mappings
00-base	5e032e8e4722	KVM: arm64: Add __pkvm_private_range_pa
00-base	42f1ef8d9625	DONOTMERGE: KVM: selftests: Fix MADV_COLLAPSE build failure on older toolchains
00-base	a19f25aa5239	KVM: arm64: selftests: Add pKVM hypercall and isolation test coverage
00-base	3375fb570cae	KVM: arm64: selftests: Add pKVM selftest bootstrap
00-base	6fe61003136a	KVM: selftests: Export ucall pool and MMIO address helpers
00-base	8d09baa1c663	KVM: selftests: Add VM_TYPE_PROTECTED and read_guest_global
00-base	093c0b92a562	KVM: selftests: Fix kvm_for_each_vcpu to iterate the vCPU list
00-base	67886b3b6948	tools headers UAPI: Sync KVM_VM_TYPE_ARM_PROTECTED
00-base	12ad180f7dd4	tools headers: Sync arm-smccc.h pKVM memory hypercall definitions
00-base	7b52ad3814ca	KVM: arm64: Document host-write restrictions for protected VMs
00-base	4fdd47baa880	KVM: arm64: Restrict protected VM vCPU features at VCPU_INIT
00-base	a5f787e4e8ee	KVM: arm64: Reject host writes to protected VM private state
00-base	0dc0cbf3aa70	KVM: arm64: Document pKVM state isolation and protected VM behaviour
00-base	7a9ebab206d9	KVM: arm64: Add per-EC entry/exit state marshalling for protected guests
00-base	82d922736832	KVM: arm64: Prevent host PC adjustments for protected vCPUs
00-base	d0cc3c9e850a	KVM: arm64: Handle PSCI calls for protected VMs at EL2
00-base	bfdc5c17effb	KVM: arm64: Implement HVC handling for protected guests at EL2
00-base	43589aaf9b34	KVM: arm64: Add system register reset framework for protected VMs
00-base	806662388b8e	KVM: arm64: Add {flush,sync}_hyp_timer_state() primitives
00-base	d17665eb3a23	KVM: arm64: Skip fixed-feature state flush for protected vCPUs
00-base	0f9d61e8880b	KVM: arm64: Introduce per-EC entry/exit handlers for pKVM
00-base	23e45c8b2cf5	KVM: arm64: Add PC_UPDATE_REQ mask covering all PC updates
00-base	42a7f9170dd8	KVM: arm64: Add vcpu flag copy primitive
00-base	8e27f58172be	KVM: arm64: Implement lazy vCPU state sync for non-protected guests
00-base	b105340c42ac	KVM: arm64: Add primitives to flush/sync the VGIC state at EL2
00-base	5a79f4ba0302	KVM: arm64: Minimise EL2's exposure of host VGIC state during world switch
00-base	79f7da90766c	KVM: arm64: Add host and hypervisor vCPU lookup primitives
00-base	505b106b32bc	KVM: arm64: Move PSCI helper functions to a shared header
00-base	ad70726c662b	KVM: arm64: Factor out reusable vCPU reset helpers
00-base	e23671ef2e6e	KVM: arm64: Make vcpu_{read,write}_sys_reg available to HYP code
00-base	e49edbc818e0	KVM: arm64: Extract MPIDR computation into a shared header
00-base	353f86adf462	KVM: arm64: Flush HCR_EL2.VSE to deliver SErrors to pKVM guests
00-base	a991806f0ebb	KVM: arm64: Bound used_lrs when flushing the pKVM hyp vCPU
00-base	710592cb247a	KVM: arm64: Clear __hyp_running_vcpu when flushing the pKVM hyp vCPU
01-pvm-core	b51274680e81	BACKPORT: ANDROID: KVM: arm64: Ensure that TLBs and I-cache are private to each vcpu
01-pvm-core	2858d6852647	ANDROID: KVM: arm64: Add hyp per_cpu variable to track current physical cpu number
01-pvm-core	62d3a9f0580b	BACKPORT: ANDROID: KVM: arm64: Refactor enter_exception64()
01-pvm-core	c61fd42f9744	ANDROID: KVM: arm64: Remove locking from EL2 allocation fast-paths
01-pvm-core	905a4496abc3	ANDROID: KVM: arm64: Use atomic refcount helpers for 'struct hyp_page::refcount'
01-pvm-core	8bfe2911011c	BACKPORT: ANDROID: KVM: arm64: Add atomics-based checking refcount implementation at EL2
01-pvm-core	e2395fce86d4	ANDROID: KVM: arm64: Introduce hyp_rwlock_t
01-pvm-core	120361b5a8dd	ANDROID: KVM: arm64: Refactor kvm_vcpu_enable_ptrauth() for hyp use
01-pvm-core	6b5570d7789b	ANDROID: KVM: arm64: Mark the nVHE selftest_init stub inline
02-tlbi	7c1ad2da9b36	BACKPORT: ANDROID: KVM: arm64: Don't expose TLBI hypercalls after de-privilege
03-sme	a0e96aac91ab	BACKPORT: ANDROID: KVM: arm64: Ensure that SME is trapped if not supported in pKVM
03-sme	7606e4880b60	ANDROID: KVM: arm64: Factor out memory allocation of vcpu SVE state creation
04-rwlock	1753754f1023	BACKPORT: ANDROID: KVM: arm64: Convert pKVM 'vm_table_lock' to an rwlock
05-pvmfw	20fcbd1256f2	BACKPORT: ANDROID: KVM: arm64: Fix clearing pvm firmware on init failure
05-pvmfw	29714a9e1b90	BACKPORT: ANDROID: KVM: arm64: Introduce KVM_CAP_ARM_PROTECTED_VM to set/query PVM firmware
05-pvmfw	0d32af90b787	BACKPORT: ANDROID: KVM: arm64: Reset primary vCPU according to PVM firmware boot protocol
05-pvmfw	f34aa7c1ad07	BACKPORT: ANDROID: KVM: arm64: Copy pvmfw into guest pages during donation from the host
05-pvmfw	9d138b494730	BACKPORT: ANDROID: KVM: arm64: Clear pvmfw pages on clean host shutdown
05-pvmfw	0fd9d463f56e	ANDROID: KVM: arm64: Make hyp_poison_page() available as helper
05-pvmfw	08140e99beb3	ANDROID: KVM: arm64: Ignore length of 0 in kvm_flush_dcache_to_poc()
05-pvmfw	8d458e734d32	ANDROID: KVM: arm64: Unmap PVM firmware from host stage-2 during de-privilege
05-pvmfw	38af857d5fc8	BACKPORT: ANDROID: KVM: arm64: Parse reserved-memory node for pkvm guest firmware region
05-pvmfw	3b091dfdd86c	ANDROID: KVM: arm64: Mark PAuth as a restricted feature for protected VMs
05-pvmfw	1684edd22f3a	ANDROID: KVM: arm64: Mark ID registers as hidden in pKVM
05-pvmfw	50416d0a7559	ANDROID: KVM: arm64: Unallocated/Unhandled/Hidden sysreg access in pKVM
05-pvmfw	e29e0766e5f9	ANDROID: KVM: arm64: Set address as invalid if __get_fault_info() fails
05-pvmfw	b2ae4fbbb350	BACKPORT: ANDROID: KVM: arm64: Introduce new spinlock for hypervisor VM vCPUs[] array
05-pvmfw	2f7250dda561	BACKPORT: ANDROID: KVM: arm64: Rename 'struct pkvm_hyp_vm::lock' to 'pgtable_lock'
06-sve-donate	6ec403c0258e	BACKPORT: ANDROID: KVM: arm64: Donate memory for the guest SVE state for protected VMs
